student_id,course_id,quiz_count,avg_score,slope,intercept,r_squared,p_value_slope,score_sequence,trajectory_label
31090,4606,6,93.3333,0.0,93.3333,0.0,1.0,"100.0,80.0,100.0,100.0,80.0,100.0",Steady High Performer
31090,4614,6,73.3333,-1.142857,77.3333,0.0429,0.693907,"80.0,60.0,80.0,80.0,80.0,60.0",Steady High Performer
31091,4606,6,90.0,1.714286,84.0,0.0857,0.573392,"100.0,80.0,80.0,80.0,100.0,100.0",Steady High Performer
31091,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31092,4606,6,80.0,-9.142857,112.0,0.9143,0.002838,"100.0,100.0,80.0,80.0,60.0,60.0",Decliner
31092,4614,6,83.3333,2.857143,73.3333,0.4286,0.158302,"80.0,80.0,80.0,80.0,80.0,100.0",Steady High Performer
31093,4606,6,66.6667,1.142857,62.6667,0.0171,0.804726,"80.0,60.0,40.0,80.0,60.0,80.0",Steady High Performer
31093,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31094,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31094,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31095,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31095,4614,6,83.3333,-1.714286,89.3333,0.1543,0.441113,"80.0,100.0,80.0,80.0,80.0,80.0",Steady High Performer
31096,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31096,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31097,4606,6,46.6667,2.285714,38.6667,0.0149,0.81777,"60.0,40.0,60.0,0.0,20.0,100.0",Stable Average
31097,4614,6,56.6667,-7.428571,82.6667,0.2229,0.344487,"100.0,40.0,80.0,20.0,40.0,60.0",Decliner
31098,4606,6,86.6667,0.0,86.6667,0.0,1.0,"100.0,80.0,80.0,80.0,80.0,100.0",Steady High Performer
31098,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31099,4606,6,90.0,-1.714286,96.0,0.0857,0.573392,"80.0,100.0,100.0,100.0,80.0,80.0",Steady High Performer
31099,4614,6,83.3333,-2.857143,93.3333,0.4286,0.158302,"100.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31100,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31100,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31101,4606,6,80.0,-4.571429,96.0,0.2286,0.337502,"100.0,80.0,60.0,100.0,80.0,60.0",Steady High Performer
