student_id,course_id,programme_level,Group,course_name,course_code,quizzes_attempted,max_quizzes_in_course,participation_rate,avg_quiz_score_pct,engagement_score,profile_label,ese_percentage
40405,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,4,5.0,80.0,98.75,87.5,High,88.0
40405,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,52.0
40405,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,93.3333,97.3333,High,50.0
40405,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,2,10.0,20.0,42.5,29.0,Low,58.0
40405,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,78.75,91.5,High,64.0
40405,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,71.6666,58.6666,Medium,62.86
40405,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,11,12.0,91.6667,58.4091,78.3637,High,60.0
40406,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,1,5.0,20.0,100.0,52.0,Medium,70.0
40406,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,0,1.0,0.0,0.0,0.0,Low,58.0
40406,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,45.0,58.0,Medium,78.0
40406,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,5,10.0,50.0,40.0,46.0,Medium,80.0
40406,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,3,5.0,60.0,90.4167,72.1667,High,72.0
40406,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,66.6666,56.6666,Medium,80.0
40406,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,3,12.0,25.0,62.2222,39.8889,Low,71.43
40407,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,3,5.0,60.0,57.7778,59.1111,Medium,56.0
40407,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,58.0
40407,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,75.0,70.0,High,58.0
40407,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,10,10.0,100.0,66.0,86.4,High,60.0
40407,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,3,5.0,60.0,60.4167,60.1667,High,72.0
40407,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,3,4.0,75.0,71.1111,73.4444,High,74.29
40407,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,11,12.0,91.6667,69.697,82.8788,High,65.71
40408,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,3,5.0,60.0,65.0,62.0,High,78.0
40408,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,0,1.0,0.0,0.0,0.0,Low,68.0
40408,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,72.5,69.0,High,80.0
40408,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,2,10.0,20.0,97.5,51.0,Medium,76.0
40408,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,4,5.0,80.0,76.875,78.75,High,74.0
